Industry,SIC_code,IOC,Sector
Television programming and broadcasting activities ,6020,58,"Motion Picture, Video & TV Programme Production, Sound Recording & Music Publishing Activities & Programming And Broadcasting Activities"
Wired telecommunications activities ,6110,59 & 60,Telecommunications  
Wireless telecommunications activities ,6120,59 & 60,Telecommunications  
Satellite telecommunications activities ,6130,59 & 60,Telecommunications  
Other telecommunications activities,6190,59 & 60,Telecommunications  
Computer programming activities   ,6201,61,"Computer Programming, Consultancy And Related Activities  "
Computer consultancy activities ,6202,61,"Computer Programming, Consultancy And Related Activities  "
Computer facilities management activities ,6203,61,"Computer Programming, Consultancy And Related Activities  "
Other information technology and computer service activities ,6209,61,"Computer Programming, Consultancy And Related Activities  "
"Data processing, hosting and related activities ",6311,62,Information Service Activities  
Web portals ,6312,62,Information Service Activities  
News agency activities ,6391,62,Information Service Activities  
Other information service activities n.e.c. ,6399,62,Information Service Activities  
Central banking ,6411,63,"Financial Service Activities, Except Insurance And Pension Funding  "
Other monetary intermediation ,6419,63,"Financial Service Activities, Except Insurance And Pension Funding  "
Activities of holding companies distribution,6420,63,"Financial Service Activities, Except Insurance And Pension Funding  "
"Trusts, funds and similar financial entities  ",6430,63,"Financial Service Activities, Except Insurance And Pension Funding  "
Financial leasing ,6491,63,"Financial Service Activities, Except Insurance And Pension Funding  "
Other credit granting,6492,63,"Financial Service Activities, Except Insurance And Pension Funding  "
"Other financial service activities, except insurance and pension funding, n.e.c.",6499,63,"Financial Service Activities, Except Insurance And Pension Funding  "
Life insurance ,6511,64,"Insurance and reinsurance, except compulsory social security & Pension funding"
Non-life insurance ,6512,64,"Insurance and reinsurance, except compulsory social security & Pension funding"
Reinsurance,6520,64,"Insurance and reinsurance, except compulsory social security & Pension funding"
Pension funding ,6530,64,"Insurance and reinsurance, except compulsory social security & Pension funding"
Administration of financial markets ,6611,65.1-2 & 65.3,Activities Auxiliary To Financial Services And Insurance Activities  
Security and commodity contracts brokerage ,6612,65.1-2 & 65.3,Activities Auxiliary To Financial Services And Insurance Activities  
"Other activities auxiliary to financial services, except insurance and pension funding",6619,65.1-2 & 65.3,Activities Auxiliary To Financial Services And Insurance Activities  
Risk and damage evaluation ,6621,65.1-2 & 65.3,Activities Auxiliary To Financial Services And Insurance Activities  
Activities of insurance agents and brokers ,6622,65.1-2 & 65.3,Activities Auxiliary To Financial Services And Insurance Activities  
Other activities auxiliary to insurance and pension funding ,6629,65.1-2 & 65.3,Activities Auxiliary To Financial Services And Insurance Activities  
Fund management activities ,6630,65.1-2 & 65.3,Activities Auxiliary To Financial Services And Insurance Activities  
Buying and selling of own real estate ,6810,66,"Buying and selling, renting and operating of own or leased real estate, excluding imputed rent"
Renting and operating of own or leased real estate ,6820,66,"Buying and selling, renting and operating of own or leased real estate, excluding imputed rent"
Real estate agencies ,6831,68.1-2,Real estate activities on a fee or contract basis  
Management of real estate on a fee or contract basis ,6832,68.1-2,Real estate activities on a fee or contract basis  
Legal activities,6910,68.2IMP,Legal activities  
"Accounting, bookkeeping and auditing activities; tax consultancy",6920,68.3,"Accounting, bookkeeping and auditing activities; tax consultancy  "
Activities of head offices ,7010,69.1,Activities Of Head Offices; Management Consultancy Activities  
Public relations and communication activities,7021,69.1,Activities Of Head Offices; Management Consultancy Activities  
Business and other management consultancy activities ,7022,69.1,Activities Of Head Offices; Management Consultancy Activities  
Architectural activities ,7111,69.2,Architectural And Engineering Activities; Technical Testing And Analysis  
Engineering activities and related technical consultancy,7112,69.2,Architectural And Engineering Activities; Technical Testing And Analysis  
Technical testing and analysis ,7120,69.2,Architectural And Engineering Activities; Technical Testing And Analysis  
Research and experimental development on biotechnology ,7211,70,Scientific Research And Development  
Other research and experimental development on natural sciences and engineering ,7219,70,Scientific Research And Development  
Research and experimental development on social sciences and humanities ,7220,70,Scientific Research And Development  
Advertising agencies ,7311,71,Advertising And Market Research  
Media representation ,7312,71,Advertising And Market Research  
Market research and public opinion polling ,7320,71,Advertising And Market Research  
Specialised design activities ,7410,72,"Other Professional, Scientific And Technical Activities  "
Photographic activities,7420,72,"Other Professional, Scientific And Technical Activities  "
Translation and interpretation activities ,7430,72,"Other Professional, Scientific And Technical Activities  "
"Other professional, scientific and technical activities n.e.c. ",7490,72,"Other Professional, Scientific And Technical Activities  "
Veterinary activities ,7500,73,Veterinary Activities  
Renting and leasing of cars and light motor vehicles ,7711,74,Rental And Leasing Activities  
Renting and leasing of trucks ,7712,74,Rental And Leasing Activities  
Renting and leasing of recreational and sports goods ,7721,74,Rental And Leasing Activities  
Renting of video tapes and disks ,7722,74,Rental And Leasing Activities  
Renting and leasing of other personal and household goods,7729,74,Rental And Leasing Activities  
Renting and leasing of agricultural machinery and equipment ,7731,74,Rental And Leasing Activities  
Renting and leasing of construction and civil engineering machinery and equipment ,7732,74,Rental And Leasing Activities  
Renting and leasing of office machinery and equipment (including computers) ,7733,74,Rental And Leasing Activities  
Renting and leasing of water transport equipment,7734,74,Rental And Leasing Activities  
Renting and leasing of air transport equipment,7735,74,Rental And Leasing Activities  
"Renting and leasing of other machinery, equipment and tangible goods n.e.c. ",7739,74,Rental And Leasing Activities  
"Leasing of intellectual property and similar products, except copyrighted works ",7740,74,Rental And Leasing Activities  
Activities of employment placement agencies ,7810,75,Employment Activities  
Temporary employment agency activities ,7820,75,Employment Activities  
Other human resources provision ,7830,75,Employment Activities  
Travel agency activities ,7911,77,"Travel Agency, Tour Operator And Other Reservation Service And Related Activities  "
Tour operator activities ,7912,77,"Travel Agency, Tour Operator And Other Reservation Service And Related Activities  "
Other reservation service and related activities ,7990,77,"Travel Agency, Tour Operator And Other Reservation Service And Related Activities  "
Private security activities,8010,78,Security And Investigation Activities  
Security systems service activities ,8020,78,Security And Investigation Activities  
Investigation activities ,8030,78,Security And Investigation Activities  
Combined facilities support activities  ,8110,79,Services To Buildings And Landscape Activities  
General cleaning of buildings ,8121,79,Services To Buildings And Landscape Activities  
Other building and industrial cleaning activities ,8122,79,Services To Buildings And Landscape Activities  
Other cleaning activities ,8129,79,Services To Buildings And Landscape Activities  
Landscape service activities ,8130,79,Services To Buildings And Landscape Activities  
Combined office administrative service activities ,8211,80,"Office Administrative, Office Support And Other Business Support Activities  "
"Photocopying, document preparation and other specialised office support activities ",8219,80,"Office Administrative, Office Support And Other Business Support Activities  "
Activities of call centres ,8220,80,"Office Administrative, Office Support And Other Business Support Activities  "
Convention and trade show organizers,8230,80,"Office Administrative, Office Support And Other Business Support Activities  "
Activities of collection agencies and credit bureaus,8291,80,"Office Administrative, Office Support And Other Business Support Activities  "
Packaging activities,8292,80,"Office Administrative, Office Support And Other Business Support Activities  "
Other business support service activities n.e.c. ,8299,80,"Office Administrative, Office Support And Other Business Support Activities  "
General public administration activities ,8411,81,Public Administration And Defence; Compulsory Social Security  
"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security ",8412,81,Public Administration And Defence; Compulsory Social Security  
Regulation of and contribution to more efficient operation of businesses ,8413,81,Public Administration And Defence; Compulsory Social Security  
Foreign affairs ,8421,81,Public Administration And Defence; Compulsory Social Security  
Defence activities ,8422,81,Public Administration And Defence; Compulsory Social Security  
Justice and judicial activities ,8423,81,Public Administration And Defence; Compulsory Social Security  
Public order and safety activities ,8424,81,Public Administration And Defence; Compulsory Social Security  
Fire service activities ,8425,81,Public Administration And Defence; Compulsory Social Security  
Compulsory social security activities ,8430,81,Public Administration And Defence; Compulsory Social Security  
Pre-primary education ,8510,82,Education  
Primary education ,8520,82,Education  
General secondary education ,8531,82,Education  
Technical and vocational secondary education ,8532,82,Education  
Post-secondary non-tertiary education ,8541,82,Education  
Tertiary education,8542,82,Education  
Sports and recreation education  ,8551,82,Education  
Cultural education ,8552,82,Education  
Driving school activities ,8553,82,Education  
Other education n.e.c. ,8559,82,Education  
Educational support activities,8560,82,Education  
Hospital activities,8610,84,Human Health Activities
General medical practice activities,8621,84,Human Health Activities
Specialist medical practice activities ,8622,84,Human Health Activities
Dental practice activities ,8623,84,Human Health Activities
Other human health activities  ,8690,84,Human Health Activities
Residential nursing care activities ,8710,85,Residential Care  & Social Work Activities
"Residential care activities for mental retardation, mental health and substance abuse ",8720,85,Residential Care  & Social Work Activities
Residential care activities for the elderly and disabled ,8730,85,Residential Care  & Social Work Activities
Other residential care activities ,8790,85,Residential Care  & Social Work Activities
Social work activities without accommodation for the elderly and disabled ,8810,85,Residential Care  & Social Work Activities
Child day-care activities ,8891,85,Residential Care  & Social Work Activities
Other social work activities without accommodation n.e.c. ,8899,85,Residential Care  & Social Work Activities
Performing arts ,9001,86,"Creative, Arts And Entertainment Activities  "
Support activities to performing arts ,9002,86,"Creative, Arts And Entertainment Activities  "
Artistic creation ,9003,86,"Creative, Arts And Entertainment Activities  "
Operation of arts facilities,9004,86,"Creative, Arts And Entertainment Activities  "
Library and archive activities ,9101,87 & 88,"Libraries, Archives, Museums And Other Cultural Activities  "
Museum activities ,9102,87 & 88,"Libraries, Archives, Museums And Other Cultural Activities  "
Operation of historical sites and buildings and similar visitor attractions ,9103,87 & 88,"Libraries, Archives, Museums And Other Cultural Activities  "
Botanical and zoological gardens and nature reserve activities ,9104,87 & 88,"Libraries, Archives, Museums And Other Cultural Activities  "
Gambling and betting activities ,9200,90,Gambling And Betting Activities  
Operation of sports facilities ,9311,91,Sports Activities And Amusement And Recreation Activities  
Activities of sport clubs ,9312,91,Sports Activities And Amusement And Recreation Activities  
Fitness facilities ,9313,91,Sports Activities And Amusement And Recreation Activities  
Other sports activities ,9319,91,Sports Activities And Amusement And Recreation Activities  
Activities of amusement parks and theme parks ,9321,91,Sports Activities And Amusement And Recreation Activities  
Other amusement and recreation activities  ,9329,91,Sports Activities And Amusement And Recreation Activities  
Activities of business and employers membership organisations ,9411,92,Activities Of Membership Organisations  
Activities of professional membership organisations ,9412,92,Activities Of Membership Organisations  
Activities of trade unions ,9420,92,Activities Of Membership Organisations  
Activities of religious organisations  ,9491,92,Activities Of Membership Organisations  
Activities of political organisations ,9492,92,Activities Of Membership Organisations  
Activities of other membership organisations n.e.c. ,9499,92,Activities Of Membership Organisations  
Repair of computers and peripheral equipment ,9511,93,Repair Of Computers And Personal And Household Goods  
Repair of communication equipment ,9512,93,Repair Of Computers And Personal And Household Goods  
Repair of consumer electronics  ,9521,93,Repair Of Computers And Personal And Household Goods  
Repair of household appliances and home and garden equipment ,9522,93,Repair Of Computers And Personal And Household Goods  
Repair of footwear and leather goods  ,9523,93,Repair Of Computers And Personal And Household Goods  
Repair of furniture and home furnishings ,9524,93,Repair Of Computers And Personal And Household Goods  
"Repair of watches, clocks and jewellery ",9525,93,Repair Of Computers And Personal And Household Goods  
Repair of other personal and household goods ,9529,93,Repair Of Computers And Personal And Household Goods  
Washing and (dry-)cleaning of textile and fur products ,9601,94,Other Personal Service Activities  
Hairdressing and other beauty treatment ,9602,94,Other Personal Service Activities  
Funeral and related activities ,9603,94,Other Personal Service Activities  
Physical well-being activities ,9604,94,Other Personal Service Activities  
Other personal service activities n.e.c,9609,94,Other Personal Service Activities  
Activities of households as employers of domestic personnel ,9700,94,Other Personal Service Activities  
